I,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
D,173.669998,175,169.449997,174.789993,174.789993,19355400
I,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
I,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
D,177.949997,178.050003,172.509995,176.25,176.25,23593200
I,179.199997,180.279999,176.660004,179.240005,179.240005,20974800
D,177.410004,180.5,176.770004,178.240005,178.240005,16110700
D,175.25,175.380005,168.339996,170.800003,170.800003,24850500
I,178.449997,184.779999,178.139999,182.279999,182.279999,33242000
D,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
I,183.229996,190.410004,180.830002,190.070007,190.070007,28792000
D,192.660004,193.75,187.410004,187.5,187.5,29197800
I,188.660004,189.199997,182.559998,182.910004,182.910004,21731000
D,190.929993,196.910004,190,194.190002,194.190002,45954500
D,206.919998,209.690002,201.570007,204.710007,204.710007,46230100
I,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
D,200.199997,205.910004,198.759995,205.259995,205.259995,19250700
I,207.020004,210.380005,206.5,207.070007,207.070007,21071200
I,208.119995,211.600006,206.660004,208.470001,208.470001,21857000
I,211.160004,211.600006,209.039993,211.259995,211.259995,15152000